,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
713,PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,yes
714,PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,yes
715,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7,17,26,20,6,yes
716,PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7,18,29,22,6,yes
717,PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,30,25,7,yes
718,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,6,17,26,20,6,no
719,PONTIAC G6,3.6,6,Auto-S6,2WD,Gasoline,small car,6,17,26,20,6,no
720,PONTIAC G6,3.9,6,Auto-S4,2WD,Gasoline,small car,6,15,22,18,5,no
721,PONTIAC G8,6.0,8,Auto-S6,2WD,Gasoline,large car,6,15,24,18,5,no
722,PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18,28,21,6,yes
723,PONTIAC Grand Prix,5.3,8,Auto-S4,2WD,Gasoline,midsize car,6,16,25,19,5,no
724,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,yes
725,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,yes
726,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,yes
727,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,yes
728,PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,yes
729,PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,yes
730,PONTIAC Solstice,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19,26,21,6,no
731,PONTIAC Solstice,2.0,4,Man-5,2WD,Gasoline,small car,6,19,28,22,6,no
732,PONTIAC Solstice,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19,24,21,6,no
733,PONTIAC Solstice,2.4,4,Man-5,2WD,Gasoline,small car,6,19,25,21,6,no
734,PONTIAC Torrent,3.4,6,Auto-L5,2WD,Gasoline,SUV,7,17,24,19,5,no
735,PONTIAC Torrent,3.4,6,Auto-L5,4WD,Gasoline,SUV,7,17,24,19,5,no
736,PONTIAC Torrent,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16,24,19,5,no
737,PONTIAC Torrent,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16,24,19,5,no
738,PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25,31,27,8,yes
739,PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26,33,29,8,yes
740,PORSCHE 911 GT2,3.6,6,Man-6,2WD,Gasoline,small car,6,16,23,19,5,no
741,PORSCHE 911 GT3,3.6,6,Man-6,2WD,Gasoline,small car,6,15,22,18,5,no
742,PORSCHE 911 GT3 RS,3.6,6,Man-6,2WD,Gasoline,small car,6,15,22,18,5,no
743,PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15,23,18,5,no
744,PORSCHE 911 Turbo,3.6,6,Man-6,4WD,Gasoline,small car,6,16,23,18,5,no
745,PORSCHE 911 Turbo Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15,23,18,5,no
746,PORSCHE 911 Turbo Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,15,24,18,5,no
747,PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19,26,21,6,yes
748,PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7,19,28,22,6,yes
749,PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7,20,29,23,7,yes
750,PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18,25,21,6,yes
751,PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7,18,26,21,6,yes
752,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17,24,19,5,no
753,PORSCHE Carrera Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,17,25,20,6,no
754,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18,24,20,6,no
755,PORSCHE Carrera Cabriolet,3.6,6,Man-6,2WD,Gasoline,small car,6,18,26,21,6,no
756,PORSCHE Carrera Coupe,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17,24,19,5,no
757,PORSCHE Carrera Coupe,3.6,6,Man-6,4WD,Gasoline,small car,6,17,25,20,6,no
758,PORSCHE Carrera Coupe,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18,24,20,6,no
759,PORSCHE Carrera Coupe,3.6,6,Man-6,2WD,Gasoline,small car,6,18,26,21,6,no
760,PORSCHE Carrera Targa,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17,24,19,5,no
